iter	Passed	Remaining
0	169	339382
1	176	175851
2	184	123078
3	194	97035
4	201	80286
5	208	69144
6	216	61687
7	221	55104
8	228	50623
9	234	46728
10	240	43554
11	248	41132
12	255	39077
13	261	37148
14	268	35490
15	274	34013
16	279	32632
17	285	31485
18	294	30695
19	300	29765
20	306	28878
21	314	28258
22	320	27575
23	327	26981
24	332	26277
25	338	25696
26	342	25052
27	349	24622
28	353	24014
29	358	23533
30	363	23073
31	367	22617
32	375	22400
33	380	22006
34	386	21708
35	393	21481
36	398	21157
37	405	20959
38	413	20784
39	421	20661
40	428	20477
41	436	20364
42	442	20158
43	452	20099
44	459	19961
45	467	19863
46	470	19543
47	479	19486
48	485	19331
49	493	19233
50	500	19113
51	506	18961
52	513	18872
53	517	18650
54	524	18563
55	533	18517
56	543	18531
57	549	18385
58	554	18255
59	559	18082
60	565	17983
61	573	17922
62	580	17858
63	586	17730
64	593	17665
65	598	17531
66	603	17399
67	609	17316
68	615	17228
69	621	17131
70	626	17007
71	633	16967
72	639	16873
73	644	16781
74	650	16695
75	656	16617
76	659	16466
77	665	16387
78	672	16346
79	677	16257
80	685	16236
81	691	16168
82	697	16117
83	709	16174
84	716	16144
85	721	16053
86	728	16023
87	735	15984
88	739	15888
89	745	15812
90	751	15762
91	757	15702
92	763	15662
93	768	15584
94	775	15549
95	781	15497
96	787	15457
97	791	15356
98	798	15327
99	805	15305
100	812	15269
101	822	15303
102	829	15283
103	834	15205
104	838	15126
105	842	15052
106	849	15023
107	856	15009
108	864	14999
109	869	14939
110	873	14859
111	882	14871
112	891	14888
113	898	14864
114	907	14877
115	912	14818
116	919	14798
117	925	14760
118	930	14708
119	938	14707
120	944	14661
121	948	14607
122	956	14599
123	963	14575
124	968	14526
125	977	14531
126	981	14471
127	987	14439
128	992	14401
129	1002	14419
130	1007	14378
131	1013	14344
132	1029	14456
133	1036	14431
134	1043	14412
135	1048	14375
136	1053	14331
137	1061	14320
138	1067	14286
139	1071	14230
140	1074	14173
141	1081	14151
142	1087	14121
143	1092	14076
144	1096	14026
145	1100	13977
146	1107	13965
147	1115	13956
148	1122	13947
149	1127	13904
150	1137	13932
151	1143	13903
152	1150	13882
153	1156	13861
154	1163	13848
155	1169	13827
156	1174	13791
157	1181	13772
158	1187	13755
159	1193	13724
160	1200	13707
161	1207	13694
162	1213	13672
163	1220	13668
164	1226	13636
165	1231	13604
166	1239	13604
167	1246	13595
168	1251	13558
169	1256	13530
170	1263	13518
171	1273	13529
172	1281	13531
173	1289	13531
174	1299	13551
175	1302	13497
176	1309	13486
177	1317	13489
178	1323	13461
179	1330	13450
180	1336	13427
181	1342	13406
182	1348	13385
183	1352	13347
184	1358	13330
185	1365	13320
186	1372	13311
187	1381	13311
188	1385	13275
189	1393	13278
190	1400	13267
191	1405	13238
192	1412	13220
193	1418	13206
194	1421	13162
195	1426	13131
196	1434	13128
